D:\Network_Projects\NetAnalyst>python scan.py -t 10.10.0.1/24
IP                              MAC_Address
------------------------------------------
10.10.0.1               08:35:71:f2:b4:a9
10.10.0.51              6c:4b:90:0a:73:aa
10.10.0.52              e0:73:e7:bd:64:6d
10.10.0.53              e0:73:e7:bd:65:48
10.10.0.55              00:1c:c0:e3:ef:89
10.10.0.56              00:1c:c0:d9:01:3e
10.10.0.54              e0:73:e7:bf:0e:71
10.10.0.57              00:1c:c0:e3:ee:15
10.10.0.58              00:23:24:f4:53:be
10.10.0.59              e0:73:e7:bf:0f:9f
10.10.0.60              00:1c:c0:d9:01:c1
10.10.0.63              00:1c:c0:e3:ef:80
10.10.0.64              00:1c:c0:d9:02:2b
10.10.0.65              00:27:0e:05:9f:b6
10.10.0.66              00:1c:c0:d9:00:e1
10.10.0.68              e0:73:e7:bf:10:6f
10.10.0.70              00:23:24:f4:4b:dc
10.10.0.71              7c:05:07:0f:21:4e
10.10.0.75              00:1c:c0:e3:ef:ac
10.10.0.77              88:ae:dd:38:cc:1f
10.10.0.78              88:ae:dd:38:cc:d1
10.10.0.79              88:ae:dd:38:cd:67
10.10.0.80              88:ae:dd:38:cd:51
10.10.0.81              88:ae:dd:38:0e:dc
10.10.0.82              88:ae:dd:38:ca:b9
10.10.0.83              88:ae:dd:38:cd:39
10.10.0.84              88:ae:dd:38:cc:9a
10.10.0.85              88:ae:dd:38:ce:89
10.10.0.86              88:ae:dd:38:cc:d9
10.10.0.87              88:ae:dd:38:cb:ee
10.10.0.88              88:ae:dd:38:ca:f1
10.10.0.89              88:ae:dd:38:cc:ba
10.10.0.91              88:ae:dd:38:ce:85
10.10.0.92              88:ae:dd:38:cc:3e
10.10.0.93              88:ae:dd:38:cd:54
10.10.0.94              88:ae:dd:38:cc:2c
10.10.0.95              e0:73:e7:bd:5d:eb
10.10.0.96              e0:73:e7:bf:0f:b0
10.10.0.98              88:ae:dd:38:ce:e7
10.10.0.99              88:ae:dd:38:cd:e3
10.10.0.100             88:ae:dd:38:ce:5e
10.10.0.101             6c:3b:e5:27:8e:ea
10.10.0.107             6c:3b:e5:2b:81:04
10.10.0.109             6c:3b:e5:1d:3e:ef
10.10.0.113             6c:3b:e5:2b:81:06
10.10.0.119             6c:3b:e5:2b:80:e6
10.10.0.131             6c:3b:e5:1d:3e:f5
10.10.0.132             6c:3b:e5:1d:3e:ea
10.10.0.133             6c:3b:e5:28:4b:42
10.10.0.138             a0:8c:fd:ca:58:80
10.10.0.139             6c:4b:90:06:38:d5
10.10.0.141             6c:4b:90:0a:74:61
10.10.0.142             6c:4b:90:06:2f:bb
10.10.0.143             00:23:24:f4:53:b2
10.10.0.144             6c:3b:e5:1d:3f:23
10.10.0.145             00:09:0b:a5:45:33
10.10.0.67              00:23:54:b7:94:b0
10.10.0.201             00:1c:c0:e3:ef:b4
10.10.0.202             00:1c:c0:e3:ee:1b
10.10.0.203             a0:8c:fd:ca:57:8f
10.10.0.205             50:65:f3:2c:d1:7b
10.10.0.206             50:65:f3:2c:d2:99
10.10.0.207             18:60:24:93:1b:3a
10.10.0.210             04:d4:c4:7a:13:ce
10.10.0.218             60:18:95:52:66:9f
10.10.0.232             40:c2:ba:52:21:8d
