00:1B:C5:00:00/36,Converging  ,Converging Systems Inc.
00:1B:C5:00:10/36,OpenRBcomDir,"OpenRB.com, Direct SIA"
00:1B:C5:00:20/36,GORAMOJanusz,GORAMO - Janusz Gorecki
00:1B:C5:00:30/36,MicroSignsTe,MicroSigns Technologies Inc
00:1B:C5:00:40/36,Intellvision,Intellvisions Software Ltd
00:1B:C5:00:50/36,Private     ,Private
00:1B:C5:00:60/36,TRIAXHIRSCHM,TRIAX-HIRSCHMANN Multi-Media GmbH
00:1B:C5:00:70/36,EnergyAwareT,Energy Aware Technology
00:1B:C5:00:80/36,DalajElectro,Dalaj Electro-Telecom
00:1B:C5:00:90/36,SolomonSyste,Solomon Systech Pte Ltd
00:1B:C5:00:A0/36,MercuryHMI  ,Mercury HMI Ltd
00:1B:C5:00:B0/36,Private     ,Private
00:1B:C5:00:C0/36,QuantumTechn,"Quantum Technology Sciences, Inc."
00:1B:C5:00:D0/36,AdvancedScie,"Advanced Scientific Concepts, Inc."
00:1B:C5:00:E0/36,VigorElectri,Vigor Electric Corp
00:1B:C5:00:F0/36,Simavita    ,Simavita Pty Ltd
00:1B:C5:01:00/36,Softel      ,Softel SA de CV
00:1B:C5:01:10/36,OOONPPMera  ,OOO NPP Mera
00:1B:C5:01:20/36,TokyoCosmosE,"Tokyo Cosmos Electric, Inc."
00:1B:C5:01:30/36,ZamirRecogni,Zamir Recognition Systems Ltd.
00:1B:C5:01:40/36,Private     ,Private
00:1B:C5:01:50/36,CorporateEng,Corporate Systems Engineering
00:1B:C5:01:60/36,Energotechni,Energotechnica OOO NPP Ltd
00:1B:C5:01:70/36,cPacketNetwo,cPacket Networks
00:1B:C5:01:90/36,DunlopCompon,Dunlop Systems & Components
00:1B:C5:01:A0/36,AbaElectroni,"Aba Electronics Technology Co.,Ltd"
00:1B:C5:01:B0/36,Commonwealth,Commonwealth Scientific and Industrial Research Organisation
00:1B:C5:01:C0/36,Coolit      ,"Coolit Systems, Inc."
00:1B:C5:01:D0/36,RoseHerlethG,Rose + Herleth GbR
00:1B:C5:01:E0/36,Private     ,Private
00:1B:C5:01:F0/36,SaturnSoluti,Saturn Solutions Ltd
00:1B:C5:02:00/36,MomentumData,Momentum Data Systems
00:1B:C5:02:10/36,Openpeak    ,"Openpeak, Inc"
