00:00:00         ,00:00:00    ,"Officially Xerox, but 0:0:0:0:0:0 is more common"
00:00:01         ,Xerox       ,Xerox Corporation
00:00:02         ,Xerox       ,Xerox Corporation
00:00:03         ,Xerox       ,Xerox Corporation
00:00:04         ,Xerox       ,Xerox Corporation
00:00:05         ,Xerox       ,Xerox Corporation
00:00:06         ,Xerox       ,Xerox Corporation
00:00:07         ,Xerox       ,Xerox Corporation
00:00:08         ,Xerox       ,Xerox Corporation
00:00:09         ,Xerox       ,Xerox Corporation
00:00:0A         ,OmronTateisi,Omron Tateisi Electronics Co.
00:00:0B         ,Matrix      ,Matrix Corporation
00:00:0C         ,Cisco       ,"Cisco Systems, Inc"
00:00:0D         ,Fibronics   ,Fibronics Ltd.
00:00:0E         ,Fujitsu     ,Fujitsu Limited
00:00:0F         ,Next        ,"Next, Inc."
00:00:10         ,Sytek       ,Sytek Inc.
00:00:11         ,NormerelSyst,Normerel Systemes
00:00:12         ,InformationT,Information Technology Limited
00:00:13         ,Camex       ,Camex
00:00:14         ,Netronix    ,Netronix
00:00:15         ,Datapoint   ,Datapoint Corporation
00:00:16         ,DuPontPixel ,Du Pont Pixel Systems.
00:00:17         ,Oracle      ,Oracle
00:00:18         ,WebsterCompu,Webster Computer Corporation
00:00:19         ,AppliedDynam,Applied Dynamics International
00:00:1A         ,AMD         ,Advanced Micro Devices
00:00:1B         ,Novell      ,"Novell, Inc."
00:00:1C         ,BellTechnolo,Bell Technologies
00:00:1D         ,Cabletron   ,"Cabletron Systems, Inc."
00:00:1E         ,TelsistIndus,Telsist Industria Electronica
00:00:1F         ,Telco       ,"Telco Systems, Inc."
00:00:20         ,Dataindustri,Dataindustrier Diab Ab
00:00:21         ,SuremanCompC,Sureman Comp. & Commun. Corp.
00:00:22         ,VisualTechno,Visual Technology Inc.
00:00:23         ,AbbIndustria,Abb Industrial Systems Ab
00:00:24         ,ConnectAs   ,Connect As
00:00:25         ,Ramtek      ,Ramtek Corp.
00:00:26         ,ShaKen      ,"Sha-Ken Co., Ltd."
00:00:27         ,JapanRadio  ,Japan Radio Company
00:00:28         ,Prodigy     ,Prodigy Systems Corporation
00:00:29         ,ImcNetworks ,Imc Networks Corp.
00:00:2A         ,TrwSeddInp  ,Trw - Sedd/Inp
00:00:2B         ,CrispAutomat,"Crisp Automation, Inc"
00:00:2C         ,Autotote    ,Autotote Limited
00:00:2D         ,Chromatics  ,Chromatics Inc
00:00:2E         ,SocieteEvira,Societe Evira
00:00:2F         ,Timeplex    ,Timeplex Inc.
00:00:30         ,VgLaboratory,Vg Laboratory Systems Ltd
00:00:31         ,QpsxCommunic,"Qpsx Communications, Ltd."
00:00:32         ,Marconi     ,Marconi plc
00:00:33         ,EganMachiner,Egan Machinery Company
00:00:34         ,NetworkResou,Network Resources Corporation
00:00:35         ,Spectragraph,Spectragraphics Corporation
00:00:36         ,Atari       ,Atari Corporation
00:00:37         ,OxfordMetric,Oxford Metrics Limited
00:00:38         ,CssLabs     ,Css Labs
00:00:39         ,Toshiba     ,Toshiba Corporation
00:00:3A         ,Chyron      ,Chyron Corporation
00:00:3B         ,iControls   ,"i Controls, Inc."
00:00:3C         ,Auspex      ,Auspex Systems Inc.
00:00:3D         ,Unisys      ,Unisys
00:00:3E         ,Simpact     ,Simpact
00:00:3F         ,Syntrex     ,"Syntrex, Inc."
00:00:40         ,Applicon    ,"Applicon, Inc."
00:00:41         ,Ice         ,Ice Corporation
