00:23:00         ,CayeeCompute,Cayee Computer Ltd.
00:23:01         ,WitronTechno,Witron Technology Limited
00:23:02         ,CobaltDigita,"Cobalt Digital, Inc."
00:23:03         ,LITEONIT    ,LITE-ON IT Corporation
00:23:04         ,Cisco       ,"Cisco Systems, Inc"
00:23:05         ,Cisco       ,"Cisco Systems, Inc"
00:23:06         ,Alpsalpine  ,"Alpsalpine Co,.Ltd"
00:23:07         ,FutureInnova,"Future Innovation Tech Co.,Ltd"
00:23:08         ,ArcadyanTech,Arcadyan Technology Corporation
00:23:09         ,JanamTechnol,Janam Technologies LLC
00:23:0A         ,ARBURG      ,ARBURG GmbH & Co KG
00:23:0B         ,Commscope   ,Commscope
00:23:0C         ,CloverElectr,"Clover Electronics Co.,Ltd."
00:23:0D         ,NortelNetwor,Nortel Networks
00:23:0E         ,Gorba       ,Gorba AG
00:23:0F         ,HirschElectr,Hirsch Electronics Corporation
00:23:10         ,LNCTechnolog,"LNC Technology Co., Ltd."
00:23:11         ,Gloscom     ,"Gloscom Co., Ltd."
00:23:12         ,Apple       ,"Apple, Inc."
00:23:13         ,QoolTechnolo,Qool Technologies Ltd.
00:23:14         ,Intel       ,Intel Corporate
00:23:15         ,Intel       ,Intel Corporate
00:23:16         ,KisanElectro,Kisan Electronics Co
00:23:17         ,Lasercraft  ,Lasercraft Inc
00:23:18         ,Toshiba     ,Toshiba
00:23:19         ,Sielox      ,Sielox LLC
00:23:1A         ,ITF         ,"ITF Co., Ltd."
00:23:1B         ,DanaherMotio,Danaher Motion - Kollmorgen
00:23:1C         ,Fourier     ,Fourier Systems Ltd.
00:23:1D         ,DeltacomElec,Deltacom Electronics Ltd
00:23:1E         ,CezzerMultim,Cezzer Multimedia Technologies
00:23:1F         ,GuangdaElect,"Guangda Electronic & Telecommunication Technology Development Co., Ltd."
00:23:20         ,NiciraNetwor,Nicira Networks
00:23:21         ,AvitechInter,Avitech International Corp
00:23:22         ,KISSTeknical,"KISS Teknical Solutions, Inc."
00:23:23         ,ZylinAS     ,Zylin AS
00:23:24         ,GProComputer,G-Pro Computer
00:23:25         ,IOLAN       ,IOLAN Holding
00:23:26         ,Fujitsu     ,Fujitsu Limited
00:23:27         ,ShouyoElectr,"Shouyo Electronics CO., LTD"
00:23:28         ,AlconTelecom,"Alcon Telecommunications Co., Ltd."
00:23:29         ,DDRdrive    ,DDRdrive LLC
00:23:2A         ,eonasITBerat,eonas IT-Beratung und -Entwicklung GmbH
00:23:2B         ,Ird         ,Ird A/S
00:23:2C         ,Senticare   ,Senticare
00:23:2D         ,SandForce   ,SandForce
00:23:2E         ,KedahElectro,"Kedah Electronics Engineering, LLC"
00:23:2F         ,AdvancedCard,Advanced Card Systems Ltd.
00:23:30         ,Dizipia     ,"Dizipia, Inc."
00:23:31         ,Nintendo    ,"Nintendo Co., Ltd."
00:23:32         ,Apple       ,"Apple, Inc."
00:23:33         ,Cisco       ,"Cisco Systems, Inc"
00:23:34         ,Cisco       ,"Cisco Systems, Inc"
00:23:35         ,Linkflex    ,"Linkflex Co.,Ltd"
00:23:36         ,METELsro    ,METEL s.r.o.
00:23:37         ,GlobalStarSo,Global Star Solutions ULC
00:23:38         ,OJElectronic,OJ-Electronics A/S
00:23:39         ,SamsungElect,"Samsung Electronics Co.,Ltd"
00:23:3A         ,SamsungElect,"Samsung Electronics Co.,Ltd"
00:23:3B         ,CMatic      ,C-Matic Systems Ltd
00:23:3C         ,Alflex      ,Alflex
00:23:3D         ,LairdTechnol,Laird Technologies
00:23:3E         ,AlcatelLucen,Alcatel-Lucent IPD
00:23:3F         ,Purechoice  ,Purechoice Inc
00:23:40         ,MiXTelematic,MiXTelematics
00:23:41         ,VanderbiltIn,Vanderbilt International (SWE) AB
00:23:42         ,CoffeeEquipm,Coffee Equipment Company
00:23:43         ,Tem         ,Tem Ag
00:23:44         ,ObjectiveInt,"Objective Interface Systems, Inc."
00:23:45         ,Sony        ,Sony Corporation
00:23:46         ,Vestac      ,Vestac
00:23:47         ,ProCurveNetw,ProCurve Networking by HP
00:23:48         ,SagemcomBroa,Sagemcom Broadband SAS
00:23:49         ,HelmholtzCen,Helmholtz Centre Berlin for Material and Energy
00:23:4A         ,Private     ,Private
00:23:4B         ,InyuanTechno,Inyuan Technology Inc.
00:23:4C         ,Ktc         ,Ktc Ab
00:23:4D         ,HonHaiPrecis,"Hon Hai Precision Ind. Co.,Ltd."
00:23:4E         ,HonHaiPrecis,"Hon Hai Precision Ind. Co.,Ltd."
00:23:4F         ,LuminousPowe,Luminous Power Technologies Pvt. Ltd.
00:23:50         ,RDCdbaLynTec,"RDC, Inc. dba LynTec"
00:23:51         ,2Wire       ,2Wire Inc
00:23:52         ,DATASENSOR  ,DATASENSOR S.p.A.
00:23:53         ,FETElettroni,F E T Elettronica snc
00:23:54         ,ASUSTekCOMPU,ASUSTek COMPUTER INC.
00:23:55         ,KincoAutomat,Kinco Automation(Shanghai) Ltd.
00:23:56         ,PacketForens,Packet Forensics LLC
00:23:57         ,PitronotTech,Pitronot Technologies and Engineering P.T.E. Ltd.
00:23:58         ,Systel      ,Systel Sa
00:23:59         ,BenchmarkEle,Benchmark Electronics ( Thailand ) Public Company Limited
00:23:5A         ,CompalInform,"Compal Information (Kunshan) Co., Ltd."
00:23:5B         ,Gulfstream  ,Gulfstream
00:23:5C         ,Aprius      ,"Aprius, Inc."
00:23:5D         ,Cisco       ,"Cisco Systems, Inc"
00:23:5E         ,Cisco       ,"Cisco Systems, Inc"
00:23:5F         ,SiliconMicro,Silicon Micro Sensors GmbH
00:23:60         ,LookitTechno,"Lookit Technology Co., Ltd"
00:23:61         ,Unigen      ,Unigen Corporation
00:23:62         ,GoldlineCont,Goldline Controls
00:23:63         ,ZhuhaiRaysha,"Zhuhai Raysharp Technology Co.,Ltd"
00:23:64         ,PowerInstrum,Power Instruments Pte Ltd
00:23:65         ,InstaElektro,Insta Elektro GmbH
00:23:66         ,SiasunElectr,"Beijing Siasun Electronic System Co.,Ltd."
00:23:67         ,UniControls ,UniControls a.s.
00:23:68         ,ZebraTechnol,Zebra Technologies Inc
00:23:69         ,CiscoLinksys,"Cisco-Linksys, LLC"
00:23:6A         ,SmartRG     ,SmartRG Inc
00:23:6B         ,Xembedded   ,"Xembedded, Inc."
00:23:6C         ,Apple       ,"Apple, Inc."
00:23:6D         ,ResMed      ,ResMed Ltd
00:23:6E         ,Burster     ,Burster GmbH & Co KG
00:23:6F         ,DAQSystem   ,DAQ System
00:23:70         ,Snell       ,Snell
00:23:71         ,SOAMSystel  ,SOAM Systel
00:23:72         ,MoreStarIndu,More Star Industrial Group Limited
00:23:73         ,GridIron    ,"GridIron Systems, Inc."
00:23:74         ,Commscope   ,Commscope
00:23:75         ,Commscope   ,Commscope
00:23:76         ,HTC         ,HTC Corporation
00:23:77         ,IsotekElectr,Isotek Electronics Ltd
00:23:78         ,GNNetcom    ,GN Netcom A/S
00:23:79         ,UnionBusines,Union Business Machines Co. Ltd.
00:23:7A         ,Rim         ,Rim
00:23:7B         ,Whdi        ,Whdi Llc
00:23:7C         ,Neotion     ,Neotion
00:23:7D         ,HewlettPacka,Hewlett Packard
00:23:7E         ,Elster      ,Elster Gmbh
00:23:7F         ,Plantronics ,"Plantronics, Inc."
00:23:80         ,Nanoteq     ,Nanoteq
00:23:81         ,LengdaTechno,"Lengda Technology(Xiamen) Co.,Ltd."
00:23:82         ,LihRongelect,"Lih Rong electronic Enterprise Co., Ltd."
00:23:83         ,InMage      ,InMage Systems Inc
00:23:84         ,GGHEngineeri,GGH Engineering s.r.l.
00:23:85         ,Antipode    ,Antipode
00:23:86         ,IMIHydronicE,IMI Hydronic Engineering international SA
00:23:87         ,ThinkFlood  ,"ThinkFlood, Inc."
00:23:88         ,VTTelematica,V.T. Telematica S.p.a.
00:23:89         ,H3CTechnolog,"Hangzhou H3C Technologies Co., Limited"
00:23:8A         ,Ciena       ,Ciena Corporation
00:23:8B         ,QuantaComput,Quanta Computer Inc.
00:23:8C         ,Private     ,Private
00:23:8D         ,TechnoDesign,"Techno Design Co., Ltd."
00:23:8E         ,ADBBroadband,ADB Broadband Italia
00:23:8F         ,NidecCopal  ,Nidec Copal Corporation
00:23:90         ,Algolware   ,Algolware Corporation
00:23:91         ,Maxian      ,Maxian
00:23:92         ,ProteusIndus,Proteus Industries Inc.
00:23:93         ,Ajinextek   ,Ajinextek
00:23:94         ,Samjeon     ,Samjeon
00:23:95         ,Commscope   ,Commscope
00:23:96         ,AndesTechnol,Andes Technology Corporation
00:23:97         ,WestellTechn,Westell Technologies Inc.
00:23:98         ,Vutlansro   ,Vutlan sro
00:23:99         ,SamsungElect,"Samsung Electronics Co.,Ltd"
00:23:9A         ,EasyDataHard,EasyData Hardware GmbH
00:23:9B         ,ElsterSoluti,"Elster Solutions, LLC"
00:23:9C         ,JuniperNetwo,Juniper Networks
00:23:9D         ,MapowerElect,"Mapower Electronics Co., Ltd"
00:23:9E         ,JiangsuLemot,Jiangsu Lemote Technology Corporation Limited
00:23:9F         ,InstitutfürP,Institut für Prüftechnik
00:23:A0         ,HanaCNS     ,"Hana CNS Co., LTD."
00:23:A1         ,TrendElectro,Trend Electronics Ltd
00:23:A2         ,Commscope   ,Commscope
00:23:A3         ,Commscope   ,Commscope
00:23:A4         ,NewConceptsD,New Concepts Development Corp.
00:23:A5         ,SageTV      ,"SageTV, LLC"
00:23:A6         ,EMon        ,E-Mon
00:23:A7         ,RedpineSigna,"Redpine Signals, Inc."
00:23:A8         ,MarshallElec,Marshall Electronics
00:23:A9         ,DetianquanEl,"Beijing Detianquan Electromechanical Equipment Co., Ltd"
00:23:AA         ,HFR         ,"HFR, Inc."
00:23:AB         ,Cisco       ,"Cisco Systems, Inc"
00:23:AC         ,Cisco       ,"Cisco Systems, Inc"
00:23:AD         ,Xmark       ,Xmark Corporation
00:23:AE         ,Dell        ,Dell Inc.
00:23:AF         ,Commscope   ,Commscope
00:23:B0         ,COMXIONTechn,COMXION Technology Inc.
00:23:B1         ,LongcheerTec,Longcheer Technology (Singapore) Pte Ltd
00:23:B2         ,IntelligentM,Intelligent Mechatronic Systems Inc
00:23:B3         ,Lyyn        ,Lyyn AB
00:23:B4         ,NokiaDanmark,Nokia Danmark A/S
00:23:B5         ,Ortana      ,Ortana Ltd
00:23:B6         ,SecuriteComm,Securite Communications / Honeywell
00:23:B7         ,QLight      ,"Q-Light Co., Ltd."
00:23:B8         ,SichuanJiuzh,"Sichuan Jiuzhou Electronic Technology Co.,Ltd"
00:23:B9         ,AirbusDefenc,Airbus Defence and Space Deutschland GmbH
00:23:BA         ,Chroma      ,Chroma
00:23:BB         ,AccretechSBS,"Accretech SBS, Inc."
00:23:BC         ,EQSYS       ,EQ-SYS GmbH
00:23:BD         ,DigitalAlly ,"Digital Ally, Inc."
00:23:BE         ,CiscoSPVTG  ,Cisco SPVTG
00:23:BF         ,Mainpine    ,"Mainpine, Inc."
00:23:C0         ,BroadwayNetw,Broadway Networks
00:23:C1         ,SecuritasDir,Securitas Direct AB
00:23:C2         ,SAMSUNGElect,SAMSUNG Electronics. Co. LTD
00:23:C3         ,LogMeIn     ,"LogMeIn, Inc."
00:23:C4         ,LuxLumen    ,Lux Lumen
00:23:C5         ,RadiationSaf,Radiation Safety and Control Services Inc
00:23:C6         ,SMC         ,SMC Corporation
00:23:C7         ,AVSystemspzo,AVSystem sp. z o. o.
00:23:C8         ,TeamR       ,Team-R
00:23:C9         ,SichuanTiany,"Sichuan Tianyi Information Science & Technology Stock CO.,LTD"
00:23:CA         ,BehindSet   ,"Behind The Set, LLC"
00:23:CB         ,FulljoinTech,"Shenzhen Full-join Technology Co.,Ltd"
00:23:CC         ,Nintendo    ,"Nintendo Co., Ltd."
00:23:CD         ,TpLinkTechno,"Tp-Link Technologies Co.,Ltd."
00:23:CE         ,KitaDenshi  ,Kita Denshi Corporation
00:23:CF         ,CumminsAllis,Cummins-Allison Corp.
00:23:D0         ,UnilocUSA   ,Uniloc USA Inc.
00:23:D1         ,Trg         ,Trg
00:23:D2         ,InhandElectr,"Inhand Electronics, Inc."
00:23:D3         ,AirLinkWiFiN,AirLink WiFi Networking Corp.
00:23:D4         ,TexasInstrum,Texas Instruments
00:23:D5         ,WAREMARenkho,WAREMA Renkhoff SE
00:23:D6         ,SamsungElect,"Samsung Electronics Co.,Ltd"
00:23:D7         ,SamsungElect,"Samsung Electronics Co.,Ltd"
00:23:D8         ,BallIt      ,Ball-It Oy
00:23:D9         ,BannerEngine,Banner Engineering
00:23:DA         ,IndustrialCo,Industrial Computer Source (Deutschland)GmbH
00:23:DB         ,saxnet      ,saxnet gmbh
00:23:DC         ,Benein      ,"Benein, Inc"
00:23:DD         ,Elgin       ,Elgin S.A.
00:23:DE         ,Ansync      ,Ansync Inc.
00:23:DF         ,Apple       ,"Apple, Inc."
00:23:E0         ,INOTherapeut,INO Therapeutics LLC
00:23:E1         ,CavenaImageP,Cavena Image Products AB
00:23:E2         ,SEASignalisa,SEA Signalisation
00:23:E3         ,Microtronic ,Microtronic AG
00:23:E4         ,IPnect      ,IPnect co. ltd.
00:23:E5         ,IPaXiomNetwo,IPaXiom Networks
00:23:E6         ,InnovationFa,"Innovation Farm, Inc."
00:23:E7         ,Hinke       ,Hinke A/S
00:23:E8         ,Demco       ,Demco Corp.
00:23:E9         ,F5Networks  ,"F5 Networks, Inc."
00:23:EA         ,Cisco       ,"Cisco Systems, Inc"
00:23:EB         ,Cisco       ,"Cisco Systems, Inc"
00:23:EC         ,Algorithmix ,Algorithmix GmbH
00:23:ED         ,Commscope   ,Commscope
00:23:EE         ,Commscope   ,Commscope
00:23:EF         ,ZuendSystemt,Zuend Systemtechnik AG
00:23:F0         ,JinghanWeigh,Shanghai Jinghan Weighing Apparatus Co. Ltd.
00:23:F1         ,Sony        ,Sony Corporation
00:23:F2         ,TVLogic     ,TVLogic
00:23:F3         ,Glocom      ,"Glocom, Inc."
00:23:F4         ,Masternaut  ,Masternaut
00:23:F5         ,WiloSe      ,Wilo Se
00:23:F6         ,SoftwellTech,"Softwell Technology Co., Ltd."
00:23:F7         ,Private     ,Private
00:23:F8         ,ZyxelCommuni,Zyxel Communications Corporation
00:23:F9         ,DoubleTakeSo,"Double-Take Software, INC."
00:23:FA         ,RGNets      ,"RG Nets, Inc."
00:23:FB         ,IPDatatel   ,"IP Datatel, LLC."
00:23:FC         ,UltraStereoL,"Ultra Stereo Labs, Inc"
00:23:FD         ,AFTAtlasFahr,AFT Atlas Fahrzeugtechnik GmbH
00:23:FE         ,Biodevices  ,"Biodevices, SA"
00:23:FF         ,HTTCTechnolo,Beijing HTTC Technology Ltd.
